design,scenario,n,p_true,rho,method,coverage,avg_length,reject_star_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,conf_level,n_sim
curves,Grid,100,0.001,0.0,jeffreys,0.912,0.026558942974930506,0.088,0.0001142265904433202,0.026673169565373824,1.7642958887088888e-07,3.989413376182544e-05,0.026558942974930506,3.516703704376824e-05,0.95,10000
curves,Grid,100,0.001,0.0,cp,0.9957,0.03786218013377713,0.0043,3.278266171747222e-05,0.0378949627954946,3.957839560980775e-08,3.042712779665263e-05,0.03786218013377713,2.8956092586588893e-05,0.95,10000
curves,Grid,100,0.001,0.0,normal,0.088,0.0026780551239067394,0.912,0.0,0.0026780551239067394,0.0,7.588403996200149e-05,0.0026780551239067394,7.588403996200149e-05,0.95,10000
curves,Grid,100,0.001,0.01,jeffreys,0.9321,0.026528261355205245,0.0679,0.00021280780592232253,0.026741069161127565,2.035545991957887e-06,7.081477155324872e-05,0.026528261355205245,5.211156291434045e-05,0.95,10000
curves,Grid,100,0.001,0.01,cp,0.9782,0.037871890097486316,0.0218,0.00012618383487042955,0.03799807393235674,1.3618442230154893e-06,5.8571974663939874e-05,0.037871890097486316,4.588226930463511e-05,0.95,10000
curves,Grid,100,0.001,0.01,normal,0.0649,0.0025792015723156963,0.9351,2.4326355231068167e-05,0.0026035279275467647,4.4125484389785154e-07,0.00011087086482408234,0.0025792015723156963,0.00010583760442556583,0.95,10000
curves,Grid,100,0.001,0.05,jeffreys,0.963,0.02619806738497266,0.037,0.0004268817638519927,0.026624949148824646,2.0083641489147586e-05,0.000164175499577559,0.02619806738497266,7.78735697699606e-05,0.95,10000
curves,Grid,100,0.001,0.05,cp,0.9798,0.03760335122073639,0.0202,0.0003570375369592165,0.037960388757695605,1.76368611657699e-05,0.00014865865331474746,0.03760335122073639,7.272226358940327e-05,0.95,10000
curves,Grid,100,0.001,0.05,normal,0.0268,0.0020171399053932264,0.9732,0.00022723022104334878,0.002244370126436575,1.3496256217838967e-05,0.00020901822318005551,0.0020171399053932264,0.00014010678689002377,0.95,10000
curves,Grid,100,0.001,0.1,jeffreys,0.9784,0.025705166293323,0.0216,0.0003510785914999062,0.026056244884822898,2.1599522794792887e-05,0.00014293634503023087,0.025705166293323,6.0080622879841504e-05,0.95,10000
curves,Grid,100,0.001,0.1,cp,0.9871,0.03714027737092914,0.0129,0.0003042977084209574,0.0374445750793501,1.9409908043079073e-05,0.00013128051281440078,0.03714027737092914,5.663563712170951e-05,0.95,10000
curves,Grid,100,0.001,0.1,normal,0.014,0.0013145258688274995,0.986,0.00021737728317102576,0.0015319031519985251,1.5878068049024263e-05,0.00017629007590203843,0.0013145258688274995,0.00010435515737813388,0.95,10000
curves,Grid,100,0.004413793103448276,0.0,jeffreys,0.9919,0.03296649087349616,0.0081,0.0006558398677661176,0.03362233074126227,1.7302811371390051e-06,0.00016456502050370104,0.03296649087349616,0.00013623075965775927,0.95,10000
curves,Grid,100,0.004413793103448276,0.0,cp,0.9919,0.04374219294134018,0.0081,0.0002850752155368258,0.04402726815687699,7.107685602488442e-07,0.00013032553473916263,0.04374219294134018,0.00011639660874023105,0.95,10000
curves,Grid,100,0.004413793103448276,0.0,normal,0.3569,0.011985512256654916,0.6431,1.4334359302417748e-06,0.011986945692585158,2.2809881126651173e-09,0.00028437761136040224,0.011985512256654916,0.00028418947372267785,0.95,10000
curves,Grid,100,0.004413793103448276,0.01,jeffreys,0.9567,0.0319188606468071,0.0433,0.0009710148940292456,0.03288987554083635,1.0283567955230458e-05,0.0002765352549491284,0.0319188606468071,0.00019243805334331042,0.95,10000
curves,Grid,100,0.004413793103448276,0.01,cp,0.9567,0.042901645481058355,0.0433,0.0006337311774549594,0.04353537665851331,7.211441697648832e-06,0.00023342555465700272,0.042901645481058355,0.00017248864556343134,0.95,10000
curves,Grid,100,0.004413793103448276,0.01,normal,0.2449,0.010313513298714053,0.7551,0.00013457342787438585,0.01044808672658844,2.342797630696234e-06,0.00041107398335821834,0.010313513298714053,0.00038570740212068674,0.95,10000
curves,Grid,100,0.004413793103448276,0.05,jeffreys,0.9424,0.030488829802430915,0.0576,0.0016818200464991612,0.032170649848930075,7.460218863823412e-05,0.0006051435414875019,0.030488829802430915,0.0002856927886272446,0.95,10000
curves,Grid,100,0.004413793103448276,0.05,cp,0.9424,0.04169278022618099,0.0576,0.0014198974135920736,0.043112677639773056,6.552741353061311e-05,0.0005490975416168095,0.04169278022618099,0.0002676516461282103,0.95,10000
curves,Grid,100,0.004413793103448276,0.05,normal,0.1122,0.00794566504895063,0.8878,0.0008905710182228755,0.008836236067173507,4.9873844320570004e-05,0.0007652159537908558,0.00794566504895063,0.0005122018686662192,0.95,10000
curves,Grid,100,0.004413793103448276,0.1,jeffreys,0.9554,0.029176976478633355,0.0446,0.0018171534057408482,0.0309941298843742,0.00015069275723515076,0.0007700167141120772,0.029176976478633355,0.00028144886302657133,0.95,10000
curves,Grid,100,0.004413793103448276,0.1,cp,0.9554,0.04047477487954914,0.0446,0.001622578728781992,0.04209735360833113,0.00013911284138312094,0.0007160868187363412,0.04047477487954914,0.0002668381797488906,0.95,10000
curves,Grid,100,0.004413793103448276,0.1,normal,0.066,0.005991990878047602,0.934,0.0012358597284743934,0.007227850606521994,0.00012290464839162665,0.0009258495649696374,0.005991990878047602,0.00047630986956921504,0.95,10000
curves,Grid,100,0.007827586206896553,0.0,jeffreys,0.9588,0.03853433659530808,0.0412,0.0013557694370937361,0.03989010603240181,5.006416761080559e-06,0.00025735067295307753,0.03853433659530808,0.00019848038325424576,0.95,10000
curves,Grid,100,0.007827586206896553,0.0,cp,0.9931,0.04894499731717128,0.0069,0.0007166321328257902,0.049661629449997066,2.710579635396846e-06,0.00021091253607975887,0.04894499731717128,0.00017499465556648842,0.95,10000
curves,Grid,100,0.007827586206896553,0.0,normal,0.5441,0.019963385241012217,0.4559,1.913746978390048e-05,0.019982522710796122,1.201600327894492e-07,0.00040749592599149243,0.019963385241012217,0.0004049502318294717,0.95,10000
curves,Grid,100,0.007827586206896553,0.01,jeffreys,0.9085,0.037385308684349514,0.0915,0.0018923060408883496,0.039277614725237865,1.997173108175555e-05,0.00045250162478706953,0.037385308684349514,0.0003011113347761963,0.95,10000
curves,Grid,100,0.007827586206896553,0.01,cp,0.958,0.048050686829194035,0.042,0.0012945050414978725,0.049345191870691904,1.441110319284952e-05,0.0003879131073190729,0.048050686829194035,0.00027382620345279055,0.95,10000
curves,Grid,100,0.007827586206896553,0.01,normal,0.4072,0.0180872366949625,0.5928,0.00029944881816749226,0.018386685513129997,4.663857977055034e-06,0.0006455577183782001,0.0180872366949625,0.0005951103463804963,0.95,10000
curves,Grid,100,0.007827586206896553,0.05,jeffreys,0.8995,0.034654243083779145,0.1005,0.0029926383950578703,0.03764688147883701,0.00014628504554329406,0.0010334139089911486,0.034654243083779145,0.00046098466213313343,0.95,10000
curves,Grid,100,0.007827586206896553,0.05,cp,0.9301,0.04566971711155915,0.0699,0.0025440986147589476,0.048213815726318096,0.00013086417148186596,0.0009444246703327486,0.04566971711155915,0.00043352752733621534,0.95,10000
curves,Grid,100,0.007827586206896553,0.05,normal,0.2021,0.013679244860973574,0.7979,0.0016256515601269627,0.015304896421100537,0.00010532252871659818,0.0012867402378224447,0.013679244860973574,0.000817265522970068,0.95,10000
curves,Grid,100,0.007827586206896553,0.1,jeffreys,0.9131,0.03330547963356447,0.0869,0.0038658887001881753,0.03717136833375264,0.000338904654085532,0.001607227005176967,0.03330547963356447,0.0005487510339621833,0.95,10000
curves,Grid,100,0.007827586206896553,0.1,cp,0.9312,0.044465452206569715,0.0688,0.0034992372576990653,0.04796468946426878,0.0003148017477207815,0.0015041918030803715,0.044465452206569715,0.0005229414232308844,0.95,10000
curves,Grid,100,0.007827586206896553,0.1,normal,0.1201,0.01145985710710606,0.8799,0.002758033435994506,0.014217890543100567,0.0002826254861255308,0.0019046903585318254,0.01145985710710606,0.0009086549956278542,0.95,10000
curves,Grid,100,0.011241379310344829,0.0,jeffreys,0.9737,0.04419928578878088,0.0263,0.002372595834479216,0.046571881623260085,1.0776129597612925e-05,0.00035254402935985156,0.04419928578878088,0.000251182124875718,0.95,10000
curves,Grid,100,0.011241379310344829,0.0,cp,0.994,0.05434737214412719,0.006,0.0014439905558444096,0.055791362699971606,6.716213444577379e-06,0.00029839630134351116,0.05434737214412719,0.00022820107568467972,0.95,10000
curves,Grid,100,0.011241379310344829,0.0,normal,0.6802,0.027962043131346887,0.3198,8.285712149497773e-05,0.028044900252841863,5.127461694501868e-07,0.0005124565468071159,0.027962043131346887,0.0005027335483213643,0.95,10000
curves,Grid,100,0.011241379310344829,0.01,jeffreys,0.9219,0.04267508066273108,0.0781,0.0030350841988975277,0.045710164861628606,3.5346999565174714e-05,0.0006236637242623348,0.04267508066273108,0.000388110695851644,0.95,10000
curves,Grid,100,0.011241379310344829,0.01,cp,0.9607,0.05308585640423715,0.0393,0.0021844519909001957,0.05527030839513734,2.6880753485298183e-05,0.0005447912250612901,0.05308585640423715,0.00035850372468824163,0.95,10000
curves,Grid,100,0.011241379310344829,0.01,normal,0.529,0.025534051633688378,0.471,0.0006012069517581998,0.026135258585446575,1.04718448274671e-05,0.0008485116858041283,0.025534051633688378,0.00075312550376643,0.95,10000
curves,Grid,100,0.011241379310344829,0.05,jeffreys,0.8945,0.03892968776307397,0.1055,0.004486233336950092,0.04341592110002406,0.00019621781631704992,0.001429964359761538,0.03892968776307397,0.0006312387195275784,0.95,10000
curves,Grid,100,0.011241379310344829,0.05,cp,0.9204,0.049774491595867845,0.0796,0.003850693764541058,0.053625185360408896,0.00017437845731980517,0.001311544617151795,0.049774491595867845,0.0005967835282859001,0.95,10000
curves,Grid,100,0.011241379310344829,0.05,normal,0.2707,0.01947806595195024,0.7293,0.0025309100151318775,0.022008975967082116,0.00013615687198077317,0.0017615356330382688,0.01947806595195024,0.0011021022985012344,0.95,10000
curves,Grid,100,0.011241379310344829,0.1,jeffreys,0.905,0.036555489771371186,0.095,0.005541294966306947,0.04209678473767814,0.0005074337555854722,0.002270892532256562,0.036555489771371186,0.0007376313092113442,0.95,10000
curves,Grid,100,0.011241379310344829,0.1,cp,0.9226,0.04760338890122567,0.0774,0.005040016760026465,0.052643405661252134,0.0004737828384838882,0.0021338617497439092,0.04760338890122567,0.0007046569324938116,0.95,10000
curves,Grid,100,0.011241379310344829,0.1,normal,0.1626,0.015770186030067395,0.8374,0.004027180061339908,0.019797366091407302,0.0004313372160399967,0.0026686300986967317,0.015770186030067395,0.001208090718675175,0.95,10000
curves,Grid,100,0.014655172413793105,0.0,jeffreys,0.9821,0.04872635358580944,0.0179,0.0033819101485251316,0.052108263734334574,1.75144336552145e-05,0.00041892956779055444,0.04872635358580944,0.00027841044703224844,0.95,10000
curves,Grid,100,0.014655172413793105,0.0,cp,0.9821,0.05870825086358804,0.0179,0.0022217666388493883,0.06093001750243741,1.1938199312037916e-05,0.0003629298810104876,0.05870825086358804,0.00025817799904369847,0.95,10000
curves,Grid,100,0.014655172413793105,0.0,normal,0.769,0.03431355286678566,0.231,0.00021742857563578218,0.03453098144242144,1.5123508773987517e-06,0.0005730933749571608,0.03431355286678566,0.0005496394603920845,0.95,10000
curves,Grid,100,0.014655172413793105,0.01,jeffreys,0.9388,0.04652657424479325,0.0612,0.004081245683435521,0.05060781992822876,5.1615910851375444e-05,0.0007631367485041921,0.04652657424479325,0.0004485587289195584,0.95,10000
curves,Grid,100,0.014655172413793105,0.01,cp,0.9388,0.05679289232630899,0.0612,0.003046444632051785,0.059839336958360766,4.0612904730128383e-05,0.0006758967177494995,0.05679289232630899,0.0004189754840878754,0.95,10000
curves,Grid,100,0.014655172413793105,0.01,normal,0.609,0.030868101896551446,0.391,0.0009785373069870343,0.03184663920353849,1.7847517550817453e-05,0.0010032649342148268,0.030868101896551446,0.0008551225710644214,0.95,10000
curves,Grid,100,0.014655172413793105,0.05,jeffreys,0.8914,0.04276791288290765,0.1086,0.0058813509821147416,0.048649263865022385,0.0002625834372372733,0.0017722453994070107,0.04276791288290765,0.0007574728321349772,0.95,10000
curves,Grid,100,0.014655172413793105,0.05,cp,0.8914,0.053475048149358634,0.1086,0.005074554150897526,0.05854960230025615,0.00023559323407984332,0.0016324728019995035,0.053475048149358634,0.0007186486892107498,0.95,10000
curves,Grid,100,0.014655172413793105,0.05,normal,0.34,0.02467773602515191,0.66,0.0033514907027162684,0.028029226727868176,0.00018903800879721685,0.002160516726964032,0.02467773602515191,0.0013128625292663976,0.95,10000
curves,Grid,100,0.014655172413793105,0.1,jeffreys,0.906,0.039209356287495584,0.094,0.006808873454770404,0.046018229742265986,0.0006370299857552145,0.002737970176511002,0.039209356287495584,0.0008629348326456915,0.95,10000
curves,Grid,100,0.014655172413793105,0.1,cp,0.906,0.050157647591225485,0.094,0.006195529352984278,0.05635317694420976,0.0005969673320500453,0.0025787688930007757,0.050157647591225485,0.0008253707545731588,0.95,10000
curves,Grid,100,0.014655172413793105,0.1,normal,0.2144,0.019329304327336223,0.7856,0.004952575821437014,0.024281880148773236,0.0005488096344999034,0.0032020623934774974,0.019329304327336223,0.0014076390191238208,0.95,10000
curves,Grid,100,0.01806896551724138,0.0,jeffreys,0.964,0.05342993020875592,0.036,0.0046516865159958115,0.05808161672475173,2.6655624412596994e-05,0.00048333066902750703,0.05342993020875592,0.00029768153138210336,0.95,10000
curves,Grid,100,0.01806896551724138,0.0,cp,0.99,0.06328299203435024,0.01,0.003252457057145593,0.06653544909149584,1.9494595366134106e-05,0.00042780846222167674,0.06328299203435024,0.00028121542644423856,0.95,10000
curves,Grid,100,0.01806896551724138,0.0,normal,0.837,0.040874102191704675,0.163,0.000462171887644346,0.04133627407934901,3.862160527769104e-06,0.000625565203880247,0.040874102191704675,0.0005793191410323398,0.95,10000
curves,Grid,100,0.01806896551724138,0.01,jeffreys,0.9106,0.05117174114288641,0.0894,0.005356124370082901,0.05652786551296931,6.920201418113795e-05,0.0008714346982259609,0.05117174114288641,0.00048476327059397646,0.95,10000
curves,Grid,100,0.01806896551724138,0.01,cp,0.9506,0.061274934872172546,0.0494,0.004095972849068172,0.06537090772124073,5.610753556521042e-05,0.0007814329715417531,0.061274934872172546,0.0004575508754088353,0.95,10000
curves,Grid,100,0.01806896551724138,0.01,normal,0.6889,0.03729072049527854,0.3111,0.0014198129020080255,0.03871053339728656,2.775338034562226e-05,0.001110350796466708,0.03729072049527854,0.00090846512584788,0.95,10000
curves,Grid,100,0.01806896551724138,0.05,jeffreys,0.8715,0.04617577595285807,0.1285,0.007161336965120356,0.05333711291797842,0.0003263837752063517,0.0020610367977380627,0.04617577595285807,0.0008465672833275873,0.95,10000
curves,Grid,100,0.01806896551724138,0.05,cp,0.902,0.05674705858950143,0.098,0.006206351122289038,0.06295340971179048,0.00029504847531720607,0.0019080995661809727,0.05674705858950143,0.0008061570287195007,0.95,10000
curves,Grid,100,0.01806896551724138,0.05,normal,0.3995,0.029307146634424533,0.6005,0.0041564764228470994,0.03346362305727163,0.0002418925988942464,0.002483831050521059,0.029307146634424533,0.0014505659781759838,0.95,10000
curves,Grid,100,0.01806896551724138,0.1,jeffreys,0.874,0.04315687803682122,0.126,0.008917793152472714,0.05207467118929394,0.0007713713776589366,0.003379468367127349,0.04315687803682122,0.0010659420715794566,0.95,10000
curves,Grid,100,0.01806896551724138,0.1,cp,0.8926,0.053984973032270116,0.1074,0.008147679230735984,0.06213265226300609,0.0007214349132585778,0.003187164757919898,0.053984973032270116,0.0010226148255670126,0.95,10000
curves,Grid,100,0.01806896551724138,0.1,normal,0.2532,0.02447295505964659,0.7468,0.006597342180268725,0.031070297239915317,0.0006585008066544879,0.003935087703817716,0.02447295505964659,0.0017181938654301484,0.95,10000
curves,Grid,100,0.021482758620689657,0.0,jeffreys,0.9776,0.05751622416975692,0.0224,0.005970543568690833,0.06348676773844775,3.736372721438819e-05,0.0005420459315769874,0.05751622416975692,0.00031020253701670225,0.95,10000
curves,Grid,100,0.021482758620689657,0.0,cp,0.9776,0.06728654175123741,0.0224,0.0043693478576971,0.07165588960893451,2.8777421770677546e-05,0.00048818100718165487,0.06728654175123741,0.00029728981993414446,0.95,10000
curves,Grid,100,0.021482758620689657,0.0,normal,0.8848,0.04650944499413466,0.1152,0.0008496044784947852,0.04735904947262945,7.917524321347123e-06,0.000671815574376703,0.04650944499413466,0.0005927617482930086,0.95,10000
curves,Grid,100,0.021482758620689657,0.01,jeffreys,0.9283,0.05547518180644854,0.0717,0.006876164463283817,0.062351346269732356,9.736770405520925e-05,0.0010197860979559044,0.05547518180644854,0.0005263182211647322,0.95,10000
curves,Grid,100,0.021482758620689657,0.01,cp,0.9283,0.0654610774721031,0.0717,0.005416970833427149,0.07087804830553027,8.148618249694586e-05,0.0009273929124916787,0.0654610774721031,0.0005021666519247921,0.95,10000
curves,Grid,100,0.021482758620689657,0.01,normal,0.7538,0.04313349205790717,0.2462,0.002152331480170161,0.04528582353807733,4.598217793978957e-05,0.0012566793366808656,0.04313349205790717,0.0009616293913407627,0.95,10000
curves,Grid,100,0.021482758620689657,0.05,jeffreys,0.8767,0.04983251097141649,0.1233,0.00880690858904836,0.05863941956046485,0.0004004777377022343,0.0024122025038739977,0.04983251097141649,0.0009546290585370919,0.95,10000
curves,Grid,100,0.021482758620689657,0.05,cp,0.8767,0.060294149593195276,0.1233,0.0076966246879896045,0.06799077428118488,0.00036373174544961843,0.0022438515680491137,0.060294149593195276,0.0009129058319677203,0.95,10000
curves,Grid,100,0.021482758620689657,0.05,normal,0.4566,0.03416108408299973,0.5434,0.005277410493980466,0.0394384945769802,0.0003019931329536184,0.0028741906879029447,0.03416108408299973,0.0016120013998118883,0.95,10000
curves,Grid,100,0.021482758620689657,0.1,jeffreys,0.8729,0.04666130729980695,0.1271,0.011108633893388481,0.05776994119319543,0.0010744633303855242,0.004216876724559622,0.04666130729980695,0.0012260739338692042,0.95,10000
curves,Grid,100,0.021482758620689657,0.1,cp,0.8729,0.05738660100173222,0.1271,0.010194492599158599,0.06758109360089082,0.0010140220638506982,0.00399700922960143,0.05738660100173222,0.0011789765996515684,0.95,10000
curves,Grid,100,0.021482758620689657,0.1,normal,0.3065,0.029063250630374602,0.6935,0.008350716596673781,0.037413967227048386,0.0009488028456040506,0.004861976529052748,0.029063250630374602,0.0019548947119825736,0.95,10000
