design,scenario,n,p_true,rho,method,coverage,avg_length,reject_star_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,conf_level,n_sim
scenarios,Baseline,1000,0.01,0.0,jeffreys,0.9454,0.012392437708036769,0.0546,0.005265898456388943,0.017658336164425713,4.814502842722028e-06,1.6787602658814986e-05,0.012392437708036769,3.6780304060523815e-06,0.95,10000
scenarios,Baseline,1000,0.01,0.0,cp,0.9748,0.013385941414923462,0.0252,0.004924634121360545,0.01831057553628401,4.698838676115775e-06,1.6577236610994538e-05,0.013385941414923462,3.6847476610460714e-06,0.95,10000
scenarios,Baseline,1000,0.01,0.0,normal,0.9299,0.012198709289294646,0.0701,0.003956727634160974,0.01615543692345562,4.713358935664978e-06,1.7007320109886127e-05,0.012198709289294646,3.907771835483799e-06,0.95,10000
scenarios,Baseline,1000,0.01,0.005,jeffreys,0.5572,0.011656187559587179,0.4428,0.005606832159242526,0.017263019718829705,3.0322794337643366e-05,9.758299911301955e-05,0.011656187559587179,2.0451201298501242e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.005,cp,0.649,0.01265266703571302,0.351,0.005302587519202293,0.017955254554915312,2.958327768078345e-05,9.59907039854694e-05,0.01265266703571302,2.0394027238360796e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.005,normal,0.5351,0.011242051667439723,0.4649,0.004472333599238265,0.015714385266677986,2.8509943966932345e-05,9.970755830595958e-05,0.011242051667439723,2.4275088850883933e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.01,jeffreys,0.4214,0.01105710789718472,0.5786,0.005883988226491915,0.016941096123676638,5.90476981368489e-05,0.0001738125984020039,0.01105710789718472,3.325766743713767e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.01,cp,0.5048,0.012063533060797433,0.4952,0.005610585761098767,0.0176741188218962,5.776572250428564e-05,0.00017087065377060517,0.012063533060797433,3.3035154743630166e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.01,normal,0.4001,0.01043571508141871,0.5999,0.004891703926216352,0.015327419007635061,5.565844867164452e-05,0.00017835066702798387,0.01043571508141871,4.047280315393155e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.015,jeffreys,0.3433,0.010589370276787165,0.6567,0.006187532117385219,0.016776902394172385,9.30556549796301e-05,0.00025282619798668656,0.010589370276787165,4.3892467072305196e-05,0.95,10000
