scenario,n,np_target,p_true,rho,conf_level,n_sim,method,coverage,coverage_se,coverage_ci_lo,coverage_ci_hi,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,lb_sd,ub_sd,len_sd
Baseline,1000,10.0,0.01,0.0,0.95,10000,Clopper–Pearson,0.9774,0.0014862449327079285,0.9744869599318925,0.9803130400681076,0.0226,0.0048560125011755,0.0181820278542314,4.599102808704771e-06,1.637317505135127e-05,0.0133260153530559,3.673982482735064e-06,0.002144551889953883,0.004046378016368622,0.0019167635437724352
Baseline,1000,10.0,0.01,0.0,0.95,10000,Jeffreys,0.9467,0.0022463105306257196,0.9422972313599736,0.9511027686400264,0.0533,0.0051964505026203,0.0175290134181484,4.71460773220682e-06,1.65836563487275e-05,0.0123325629155281,3.667180486170949e-06,0.0021713147473839023,0.004072303567850449,0.001914988377555057
Baseline,1000,10.0,0.01,0.0,0.95,10000,Normal Approximation,0.9248,0.0026371378424344836,0.9196312098288284,0.9299687901711715,0.0752,0.0038875317477202,0.0160253009792657,4.614957263704472e-06,1.6802242494383944e-05,0.0121377692315455,3.893252847984118e-06,0.0021482451591251107,0.004099053853559861,0.0019731327497115136
Baseline (clustered),1000,10.0,0.01,0.05,0.95,10000,Clopper–Pearson,0.2008,0.004005987518702473,0.19294826446334315,0.20865173553665686,0.7992,0.0069372749454543,0.0166098555361265,0.0003357532506602,0.0006922887098087,0.0096725805906721,7.579593487632306e-05,0.018323570903625745,0.026311379853757196,0.008706086082524286
Baseline (clustered),1000,10.0,0.01,0.05,0.95,10000,Jeffreys,0.1636,0.003699122058002412,0.15634972076631526,0.17085027923368473,0.8364,0.0070967016781725,0.0156945966870079,0.0003395080291084,0.0007007821412639,0.0085978950088353,7.676852260593194e-05,0.018425743651435077,0.02647229006459207,0.008761764811151459
Baseline (clustered),1000,10.0,0.01,0.05,0.95,10000,Normal Approximation,0.1526,0.0035960150166538516,0.14555181056735847,0.15964818943264156,0.8474,0.0065636424261061,0.0137261360388997,0.0003301897616021,0.0007179931918353,0.0071624936127936,9.311444052421856e-05,0.018171124390144382,0.026795394974422376,0.009649582401545601
Low Default,1000,1.0,0.001,0.0,0.95,10000,Clopper–Pearson,0.9818,0.0013367408125736265,0.9791799880073557,0.9844200119926443,0.0182,0.0001144066445542,0.0054653040990899,5.044394666200272e-08,2.862257625605269e-06,0.0053508974545356,2.2713973118736582e-06,0.00022459729887512608,0.001691820801859721,0.0015071155602254455
Low Default,1000,1.0,0.001,0.0,0.95,10000,Jeffreys,0.9818,0.0013367408125736265,0.9791799880073557,0.9844200119926443,0.0182,0.000196054621771,0.0044969814407044,8.390845377904112e-08,3.3963385136705492e-06,0.0043009268189333,2.515254807668379e-06,0.00028966955963483825,0.0018429157641277447,0.0015859554872909827
Low Default,1000,1.0,0.001,0.0,0.95,10000,Normal Approximation,0.6347,0.004815141846301103,0.6252623219812499,0.6441376780187502,0.3653,3.829125887198613e-06,0.0025219218746467,2.8264647965114167e-09,4.851089103089749e-06,0.0025180927487595,4.799938719427569e-06,5.316450692437029e-05,0.0022025188087936385,0.002190876244662753
Low Default (clustered),1000,1.0,0.001,0.05,0.95,10000,Clopper–Pearson,0.9551,0.0020708449966137022,0.9510411438066371,0.9591588561933628,0.0449,0.0007075764753404,0.0051094345177657,2.9241289868598363e-05,7.267587915013845e-05,0.0044018580424252,1.129618625201276e-05,0.00540752160130668,0.008525014906153447,0.003360979954122422
Low Default (clustered),1000,1.0,0.001,0.05,0.95,10000,Jeffreys,0.9551,0.0020708449966137022,0.9510411438066371,0.9591588561933628,0.0449,0.0007287402480327,0.0039707236456698,2.981108961113766e-05,7.421985156317783e-05,0.0032419833976371,1.153842121770314e-05,0.005459953260893142,0.008615094402453047,0.003396825167373667
Low Default (clustered),1000,1.0,0.001,0.05,0.95,10000,Normal Approximation,0.0399,0.001957242703396796,0.036063804301342275,0.04373619569865772,0.9601,0.0006595626722255,0.0015378521537113,2.8175181486921114e-05,7.738550895793315e-05,0.0008782894814858,1.4914059259792252e-05,0.005308029906370264,0.008796903373229307,0.003861872506931353
