n,p,conf_level,coverage_jeff,coverage_exact,coverage_approx,coverage_ecb,coverage_approx_unil,coverage_exact_unil
100,0.001,0.95,0.912,0.9957,0.088,1.0,0.088,1.0
100,0.0013311036789297659,0.95,0.9918,0.9918,0.1271,1.0,0.1271,1.0
100,0.0016622073578595317,0.95,0.9872,0.9872,0.1473,1.0,0.1473,1.0
100,0.0019933110367892975,0.95,0.9814,0.9814,0.1823,1.0,0.1823,1.0
100,0.0023244147157190633,0.95,0.9771,0.9771,0.2077,1.0,0.2078,1.0
100,0.002655518394648829,0.95,0.9726,0.9973,0.23,1.0,0.23,1.0
100,0.0029866220735785954,0.95,0.9642,0.9965,0.2679,1.0,0.2679,1.0
100,0.0033177257525083613,0.95,0.9555,0.9949,0.2788,1.0,0.2789,1.0
100,0.003648829431438127,0.95,0.9442,0.9927,0.3086,1.0,0.3086,1.0
100,0.003979933110367893,0.95,0.9408,0.9919,0.3312,1.0,0.3312,1.0
100,0.004311036789297659,0.95,0.9905,0.9905,0.354,1.0,0.354,1.0
100,0.004642140468227425,0.95,0.9888,0.9888,0.3713,1.0,0.3714,1.0
100,0.004973244147157191,0.95,0.9844,0.9844,0.3925,1.0,0.3928,1.0
100,0.005304347826086957,0.95,0.9834,0.9834,0.4207,1.0,0.4207,1.0
100,0.0056354515050167225,0.95,0.9787,0.9787,0.4407,1.0,0.4411,1.0
100,0.005966555183946488,0.95,0.9769,0.9769,0.4481,1.0,0.4484,1.0
100,0.006297658862876254,0.95,0.9741,0.9967,0.4683,1.0,0.4688,1.0
100,0.00662876254180602,0.95,0.9701,0.9957,0.4921,1.0,0.4927,1.0
100,0.006959866220735786,0.95,0.9673,0.9948,0.4954,1.0,0.4959,1.0
100,0.007290969899665552,0.95,0.9639,0.9943,0.5221,1.0,0.5221,1.0
100,0.0076220735785953175,0.95,0.959,0.9932,0.5334,1.0,0.5334,1.0
100,0.007953177257525083,0.95,0.9565,0.992,0.5471,1.0,0.5473,1.0
100,0.00828428093645485,0.95,0.9493,0.9905,0.5569,1.0,0.5574,1.0
100,0.008615384615384615,0.95,0.9916,0.9916,0.5788,1.0,0.5791,1.0
