n,p,conf_level,coverage_jeff,coverage_exact,coverage_approx,coverage_ecb,coverage_exact_unil,coverage_approx_unil,lb_mean_jeff,ub_mean_jeff,lb_var_jeff,ub_var_jeff,len_mean_jeff,len_var_jeff,lb_mean_exact,ub_mean_exact,lb_var_exact,ub_var_exact,len_mean_exact,len_var_exact,lb_mean_approx,ub_mean_approx,lb_var_approx,ub_var_approx,len_mean_approx,len_var_approx,lb_mean_ecb,ub_mean_ecb,lb_var_ecb,ub_var_ecb,len_mean_ecb,len_var_ecb,lb_mean_exact_unil,ub_mean_exact_unil,lb_var_exact_unil,ub_var_exact_unil,len_mean_exact_unil,len_var_exact_unil,lb_mean_approx_unil,ub_mean_approx_unil,lb_var_approx_unil,ub_var_approx_unil,len_mean_approx_unil,len_var_approx_unil
50,0.001,0.95,0.949,0.999,0.051,1.0,1.0,0.051,0.00012600205237703983,0.050877974500859194,2.8952675564057196e-07,8.462828290000749e-05,0.050751972448482154,7.535217564506291e-05,3.0192832578205853e-05,0.07295514281570252,3.573012369565868e-08,6.347009969835924e-05,0.0729249499831243,6.11826319302655e-05,-0.0009545814693252048,0.0030345814693252047,1.6975704095884413e-05,0.00017259005194836043,0.00398916293865041,0.00029705791208848974,0.0,0.039471846530978925,0.0,7.319675927868822e-05,0.039471846530978925,7.319675927868822e-05,0.0,0.05987969077341358,0.0,5.618187484042178e-05,0.05987969077341358,5.618187484042178e-05,0.0,0.0027139055359936453,0.0,0.00013812078808831627,0.0027139055359936453,0.00013812078808831627
50,0.0013311036789297659,0.95,0.935,1.0,0.065,1.0,1.0,0.065,0.000149958626581273,0.05141838239890942,2.826919949190836e-07,0.00010177388873085259,0.05126842377232813,9.132892233523787e-05,3.290481889765391e-05,0.07341934406527227,1.5574612996195705e-08,7.593639451942234e-05,0.07338643924637463,7.377694733301845e-05,-0.0012223449603164132,0.0038223449603164133,2.1492445136618812e-05,0.00021016384816828655,0.005044689920632827,0.00036607258660981075,0.0,0.039973584383692556,0.0,8.793322954451001e-05,0.039973584383692556,8.793322954451001e-05,0.0,0.060315877471149394,0.0,6.716248166357937e-05,0.060315877471149394,6.716248166357937e-05,0.0,0.0034168186196915458,0.0,0.00016793534251814202,0.0034168186196915458,0.00016793534251814202
50,0.0016622073578595317,0.95,0.923,0.995,0.077,1.0,1.0,0.077,0.00020702700154343707,0.052071938020915545,6.48313171576583e-07,0.00013654497865501778,0.05186491101937211,0.00011962835454695365,6.0855581909761634e-05,0.07399685817570224,1.338897671193772e-07,0.00010348583177663065,0.07393600259379246,9.81703910483867e-05,-0.0014255626860672312,0.004705562686067232,2.445457616500867e-05,0.0002713159459240486,0.006131125372134462,0.0004550994441781146,0.0,0.04058398493519746,0.0,0.00011835635360987069,0.04058398493519746,0.00011835635360987069,0.0,0.06086087421389382,0.0,9.175158850791324e-05,0.06086087421389382,9.175158850791324e-05,0.0,0.004212701306043685,0.0,0.000217828449429181,0.004212701306043685,0.000217828449429181
50,0.0019933110367892975,0.95,0.924,0.996,0.076,1.0,1.0,0.076,0.0001986327380677928,0.05199851754477237,5.810906751811046e-07,0.00013163557612121395,0.051799884806704576,0.00011580099019480219,5.597414848359725e-05,0.07393084228656246,1.1063167137641417e-07,9.950298349243744e-05,0.07387486813807886,9.477332920744456e-05,-0.001411246570831575,0.004611246570831575,2.4290237097791436e-05,0.0002632991415864054,0.00602249314166315,0.0004446187573683937,0.0,0.04051515757783675,0.0,0.0001140387800925724,0.04051515757783675,0.0001140387800925724,0.0,0.06079841513758875,0.0,8.818455408366658e-05,0.06079841513758875,8.818455408366658e-05,0.0,0.004127117785197382,0.0,0.0002112176614697812,0.004127117785197382,0.0002112176614697812
50,0.0023244147157190633,0.95,0.994,0.994,0.098,1.0,1.0,0.098,0.0002585557152589179,0.05296379632931659,7.888220347063862e-07,0.0001687218511964569,0.05270524061405766,0.00014796806653947223,7.586157499674259e-05,0.07476983024978805,1.6079191811831308e-07,0.0001277910183547201,0.07469396867479132,0.00012134577930544984,-0.001815984942938707,0.005975984942938707,3.046674646818555e-05,0.0003358026824911471,0.007791969885877414,0.0005642444579186651,0.0,0.04141356590599062,0.0,0.00014622771010979702,0.04141356590599062,0.00014622771010979702,0.0,0.0615881943222534,0.0,0.00011328978141181718,0.0615881943222534,0.00011328978141181718,0.0,0.005349613632948925,0.0,0.00026954608766420506,0.005349613632948925,0.00026954608766420506
50,0.002655518394648829,0.95,0.993,0.993,0.12,1.0,1.0,0.12,0.0003122411514863906,0.05389657652933051,9.273718990988548e-07,0.00020056365412684398,0.053584335377844114,0.000176024802556713,9.13737960667644e-05,0.07557815013312116,1.874077205528091e-07,0.00015183690144378637,0.0754867763370544,0.0001442831223404989,-0.0022252125068919736,0.007305212506891975,3.6444359299027385e-05,0.00039966382531233033,0.009530425013783948,0.0006724227692227154,0.0,0.04228118455745542,0.0,0.00017380732546487765,0.04228118455745542,0.00017380732546487765,0.0,0.0623487574822157,0.0,0.000134597369483412,0.0623487574822157,0.000134597369483412,0.0,0.006539092400157111,0.0,0.0003207571068772839,0.006539092400157111,0.0003207571068772839
50,0.0029866220735785954,0.95,0.993,0.993,0.115,1.0,1.0,0.115,0.0003102401528586365,0.05372132069870645,1.1299025753820238e-06,0.00019913285346035038,0.05341108054584781,0.000173255169061942,9.650981056072994e-05,0.07542975540788448,3.188000781389429e-07,0.0001514359105589424,0.07533324559732374,0.0001424859271974062,-0.0021226966406876113,0.007042696640687612,3.4950891360739616e-05,0.0003930769084949374,0.009165393281375224,0.0006546619997113538,0.0,0.04211908409098622,0.0,0.00017275178876811838,0.04211908409098622,0.00017275178876811838,0.0,0.06220976524514421,0.0,0.00013436006807100067,0.06220976524514421,0.00013436006807100067,0.0,0.006305920256755257,0.0,0.000315892596230776,0.006305920256755257,0.000315892596230776
50,0.0033177257525083613,0.95,0.99,0.99,0.147,1.0,1.0,0.147,0.00040675051006553743,0.05515767061135028,1.633456227720318e-06,0.0002527200259134162,0.054750920101284746,0.00021832939605232805,0.00013350187675657683,0.07668123386447535,5.228470481787204e-07,0.00019294153186875224,0.07654773198771876,0.00018015343161421863,-0.0027025095609711104,0.009062509560971111,4.285257584855341e-05,0.0004944547038823893,0.01176501912194222,0.0008158641594618854,0.0,0.04345674683943433,0.0,0.00021943400444511725,0.04345674683943433,0.00021943400444511725,0.0,0.0633884139914806,0.0,0.00017130581866865092,0.0633884139914806,0.00017130581866865092,0.0,0.008116757646192508,0.0,0.0003978393211381035,0.008116757646192508,0.0003978393211381035
50,0.003648829431438127,0.95,0.982,0.982,0.168,1.0,1.0,0.168,0.000484376782662175,0.05621831175658249,1.7408136471104099e-06,0.0002925709791597604,0.05573393497392031,0.00025272842197369516,0.0001637999991270833,0.07761219385580882,4.405206372013544e-07,0.0002237398627756883,0.07744839385668173,0.0002093373641444241,-0.003078486136510458,0.010518486136510458,4.725798007131218e-05,0.0005681906032202182,0.013596972273020917,0.0009310507665830606,0.0,0.04444567967327326,0.0,0.0002540727660400104,0.04444567967327326,0.0002540727660400104,0.0,0.06426580023087232,0.0,0.0001986446112792431,0.06426580023087232,0.0001986446112792431,0.0,0.00942546942067547,0.0,0.00045748682584649303,0.00942546942067547,0.00045748682584649303
50,0.003979933110367893,0.95,0.978,0.978,0.178,1.0,1.0,0.178,0.0005484593995011132,0.05681623226571338,2.4348054548299797e-06,0.0003252464454871118,0.05626777286621226,0.00027711247673924545,0.00020169740954832513,0.07814503290985132,7.907977304321013e-07,0.00025055990642897715,0.077943335500303,0.00023097448564577013,-0.003231603778353014,0.011311603778353014,4.8891436575083956e-05,0.0006210809771830701,0.01454320755670603,0.000998831227516308,0.0,0.045005391060523675,0.0,0.000282926357560713,0.045005391060523675,0.000282926357560713,0.0,0.06476954088759322,0.0,0.00022275305173435073,0.06476954088759322,0.00022275305173435073,0.0,0.010142522262104124,0.0,0.0005012461687495857,0.010142522262104124,0.0005012461687495857
