n,p,conf_level,n_sims,prior,prior_a,prior_b,tail,coverage,conservatism_mean,conservatism_var,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var
50,0.001,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9544,,,0.00011560325900501443,0.050663496003055614,2.7988053303087056e-07,7.71918091545163e-05,0.05054789274405062,6.855853359347667e-05
50,0.001,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.23784476218954628,0.0025263737226487145,0.0,0.03927260099068998,0.0,6.678736758439102e-05,0.03927260099068998,6.678736758439102e-05
50,0.001,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9544,,,0.0007008855082962211,0.07139538733667625,9.419558378471839e-07,5.5876260831739066e-05,0.07069450182838001,4.2430370385722796e-05
50,0.001,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.04753199682081812,0.00010255658812951693,0.0,0.05857000095179335,0.0,4.944761192600371e-05,0.05857000095179335,4.944761192600371e-05
50,0.001,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.0444,,,2.8913420812559453e-05,0.0033501071311047696,4.079396342935457e-08,0.00023641614574714448,0.0033211937102922092,0.0002320264030813706
50,0.001,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.9565231907508758,0.03956028455155255,0.0,0.002745019601799313,0.0,0.00015905069157252143,0.002745019601799313,0.00015905069157252143
50,0.0013311036789297659,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9346,,,0.00016641516799520078,0.051515997616880256,4.4419829108947216e-07,0.00011120481532708357,0.05134958244888507,9.832860905808506e-05
50,0.0013311036789297659,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.26764594093549215,0.004578149609358008,0.0,0.040065773647683926,0.0,9.627346011836429e-05,0.040065773647683926,9.627346011836429e-05
50,0.0013311036789297659,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9346,,,0.0007955698606069103,0.07212155014962102,1.4156145454096457e-06,8.073183844584808e-05,0.07132598028901409,6.100597213928382e-05
50,0.0013311036789297659,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.06151653707541207,0.0002471978224359465,0.0,0.05925322878219931,0.0,7.147569914492597e-05,0.05925322878219931,7.147569914492597e-05
