n,p,conf_level,n_sims,prior,prior_a,prior_b,tail,coverage,conservatism_mean,conservatism_var,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var
1000,0.0001,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9044,,,1.2386541753969749e-05,0.002723303070781047,1.874976695986248e-09,4.5368869529635143e-07,0.0027109165290270776,4.013367495817752e-07
1000,0.0001,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.3143483460985438,0.00908133139258133,0.0,0.0021163308843655765,0.0,3.844476095389973e-07,0.0021163308843655765,3.844476095389973e-07
1000,0.0001,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9044,,,4.799147637804887e-05,0.0038661928318918415,5.6574732954237715e-09,3.478370085710122e-07,0.0038182013555137927,2.661751953908005e-07
1000,0.0001,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.08657606119109601,0.0007131065373427162,0.0,0.003162820617223899,0.0,3.00841092292905e-07,0.003162820617223899,3.00841092292905e-07
1000,0.0001,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.0906,,,3.5842255509310417e-06,0.00036208240537710293,4.04525772188085e-10,1.2587149040086092e-06,0.00035849817982617187,1.2300449672411368e-06
1000,0.0001,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.9130346946998339,0.07158343259541745,0.0,0.00029528665264772326,0.0,8.408195441615935e-07,0.00029528665264772326,8.408195441615935e-07
1000,0.00011638795986622074,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9937,,,1.4903157574411372e-05,0.0027680389250254777,2.245379719481817e-09,5.376866737549312e-07,0.0027531357674510665,4.7534960795152095e-07
1000,0.00011638795986622074,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.33089639053581993,0.012087426754489622,0.0,0.0021574927284923554,0.0,4.5566429473631304e-07,0.0021574927284923554,4.5566429473631304e-07
1000,0.00011638795986622074,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.8847,,,5.2751130430175744e-05,0.0039052686250285874,6.74074854465779e-09,4.124300416802577e-07,0.003852517494598412,3.1539908097199924e-07
1000,0.00011638795986622074,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.09798474671635377,0.0011042239765745084,0.0,0.0031991476181700753,0.0,3.5672786348007167e-07,0.0031991476181700753,3.5672786348007167e-07
1000,0.00011638795986622074,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.109,,,4.365842844353653e-06,0.0004371343016923389,4.866054356153949e-10,1.48894609633165e-06,0.0004327684588479853,1.454633129615135e-06
1000,0.00011638795986622074,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.8967018767237886,0.08193644327148941,0.0,0.00035654233513168494,0.0,9.950606604591093e-07,0.00035654233513168494,9.950606604591093e-07
1000,0.00013277591973244148,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.993,,,1.5945900329208685e-05,0.0027851534900632763,2.4653362764206915e-09,5.712749279282682e-07,0.002769207589734068,5.043054555817373e-07
1000,0.00013277591973244148,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.3493530646333517,0.0140975290843773,0.0,0.002173249291053629,0.0,4.842174560122504e-07,0.002173249291053629,4.842174560122504e-07
1000,0.00013277591973244148,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.8774,,,5.464415690479822e-05,0.003920261074107878,7.267768834458857e-09,4.38595905272365e-07,0.0038656169172030814,3.3488405580328844e-07
1000,0.00013277591973244148,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.11014007232135312,0.0014684845478417105,0.0,0.0032130914411630926,0.0,3.794123766574017e-07,0.0032130914411630926,3.794123766574017e-07
1000,0.00013277591973244148,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.1156,,,4.740604707124386e-06,0.00046552034053816464,5.611335562425386e-10,1.576764239102219e-06,0.00046077973583104017,1.5393760196888565e-06
1000,0.00013277591973244148,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.8918136308563324,0.08385018666996973,0.0,0.00037977701898125334,0.0,1.0545582864397464e-06,0.00037977701898125334,1.0545582864397464e-06
1000,0.0001491638795986622,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9899,,,1.8823406924071397e-05,0.0028277246259252515,3.1728090460749168e-09,6.609071800212738e-07,0.00280890121900118,5.800862250577004e-07
1000,0.0001491638795986622,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.36229549691566443,0.017202512287741546,0.0,0.0022124779274684866,0.0,5.606011527357249e-07,0.0022124779274684866,5.606011527357249e-07
