scenario,n,p_target,p_used,conf_level,tail,prior,S,coverage,conservatism_mean,lb_mean,ub_mean,len_mean,lb_var,ub_var,len_var,lb_sd,ub_sd,len_sd,lb_se,ub_se,len_se
Baseline,1000,0.01,0.0099397993311036,0.95,two_sided,"Haldane (~1e-06,1e-06)",10000,0.9432,,0.0047933538496408,0.0167524720571492,0.0119591182075083,4.653987284165613e-06,1.7130519621379813e-05,4.003099474551262e-06,0.002157310196556261,0.004138903190626693,0.002000774718590592,2.157310196556261e-05,4.138903190626693e-05,2.0007747185905917e-05
Baseline,1000,0.01,0.0099397993311036,0.95,two_sided,"Jeffreys (1/2,1/2)",10000,0.9432,,0.0051278768938253,0.0173947180477093,0.0122668411538839,4.763822336933081e-06,1.6852386941021495e-05,3.7584288708827703e-06,0.002182618229772005,0.004105165884714221,0.0019386667766490377,2.182618229772005e-05,4.105165884714221e-05,1.9386667766490378e-05
Baseline,1000,0.01,0.0099397993311036,0.95,two_sided,"Laplace (1,1)",10000,0.9638,,0.0054664083677757,0.0180308171040066,0.0125644087362308,4.864530476205206e-06,1.6600541857256405e-05,3.544147041790878e-06,0.0022055680620205777,0.004074376253766508,0.0018825905135718914,2.2055680620205776e-05,4.074376253766508e-05,1.8825905135718913e-05
Baseline,1000,0.01,0.0099397993311036,0.95,upper,"Haldane (~1e-06,1e-06)",10000,,0.5525291284168476,0.0,0.0154085270781202,0.0154085270781202,0.0,1.5866753022438818e-05,1.5866753022438818e-05,0.0,0.003983309305394049,0.003983309305394049,0.0,3.9833093053940485e-05,3.9833093053940485e-05
Baseline,1000,0.01,0.0099397993311036,0.95,upper,"Jeffreys (1/2,1/2)",10000,,0.5081206399164208,0.0,0.0160271149411499,0.0160271149411499,0.0,1.563669433144526e-05,1.563669433144526e-05,0.0,0.003954326027459706,0.003954326027459706,0.0,3.954326027459706e-05,3.954326027459706e-05
Baseline,1000,0.01,0.0099397993311036,0.95,upper,"Laplace (1,1)",10000,,0.4636396449052958,0.0,0.0166403515010066,0.0166403515010066,0.0,1.5427918418125093e-05,1.5427918418125093e-05,0.0,0.003927838899207183,0.003927838899207183,0.0,3.927838899207183e-05,3.927838899207183e-05
Low Default,1000,0.001,0.001,0.95,two_sided,"Haldane (~1e-06,1e-06)",10000,0.6142,,0.0001125251425855,0.0029787177424598,0.0028661925998743,5.006812980373912e-08,6.419671940114385e-06,5.635043369003632e-06,0.00022375908876230954,0.002533707153582352,0.0023738246289487417,2.2375908876230953e-06,2.533707153582352e-05,2.3738246289487416e-05
Low Default,1000,0.001,0.001,0.95,two_sided,"Jeffreys (1/2,1/2)",10000,0.9818,,0.0001931489446571,0.0044769685638136,0.0042838196191564,8.311006821808416e-08,3.372857083503879e-06,2.499702757798016e-06,0.00028828816870985906,0.0018365339864821121,0.0015810448310525594,2.8828816870985905e-06,1.8365339864821122e-05,1.5810448310525594e-05
Low Default,1000,0.001,0.001,0.95,two_sided,"Laplace (1,1)",10000,0.9213,,0.0003086063579669,0.0054413667732504,0.0051327604152834,1.2551640417273972e-07,2.835671952290774e-06,1.816280218128926e-06,0.0003542829436661321,0.001683945353118911,0.001347694408287326,3.542829436661321e-06,1.6839453531189108e-05,1.347694408287326e-05
Low Default,1000,0.001,0.001,0.95,upper,"Haldane (~1e-06,1e-06)",10000,,0.6567528032651629,0.0,0.0024974101154241,0.0024974101154241,0.0,4.727770608707072e-06,4.727770608707072e-06,0.0,0.002174343719081018,0.002174343719081018,0.0,2.1743437190810177e-05,2.1743437190810177e-05
Low Default,1000,0.001,0.001,0.95,upper,"Jeffreys (1/2,1/2)",10000,,0.4996383223363069,0.0,0.0037393526992111,0.0037393526992111,0.0,2.9157026311611444e-06,2.9157026311611444e-06,0.0,0.0017075428636380242,0.0017075428636380242,0.0,1.7075428636380243e-05,1.7075428636380243e-05
Low Default,1000,0.001,0.001,0.95,upper,"Laplace (1,1)",10000,,0.3473147123615813,0.0,0.0046333535127016,0.0046333535127016,0.0,2.4884956954530967e-06,2.4884956954530967e-06,0.0,0.0015774966546567054,0.0015774966546567054,0.0,1.5774966546567055e-05,1.5774966546567055e-05
Small Sample,100,0.01,0.0099397993311036,0.95,two_sided,"Haldane (~1e-06,1e-06)",10000,0.6104,,0.0011439617183121,0.0293669246294728,0.0282229629111606,5.200829036041499e-06,0.0006291826551589,0.0005504447086995,0.0022805326211307523,0.02508351361270785,0.02346155810468478,2.2805326211307525e-05,0.0002508351361270785,0.0002346155810468478
Small Sample,100,0.01,0.0099397993311036,0.95,two_sided,"Jeffreys (1/2,1/2)",10000,0.9813,,0.001942822552072,0.0438487347984617,0.0419059122463896,8.498079845640052e-06,0.000319899456764,0.0002343866366933,0.0029151466250670914,0.017885733330339017,0.015309690940489295,2.9151466250670914e-05,0.00017885733330339016,0.00015309690940489294
Small Sample,100,0.01,0.0099397993311036,0.95,two_sided,"Laplace (1,1)",10000,0.9223,,0.0030747902757843,0.0527706204636981,0.0496958301879138,1.263511192231416e-05,0.0002627234252157,0.0001649167847262,0.0035545902608196856,0.01620874533132346,0.01284199302001835,3.5545902608196856e-05,0.00016208745331323457,0.00012841993020018349
Small Sample,100,0.01,0.0099397993311036,0.95,upper,"Haldane (~1e-06,1e-06)",10000,,0.6551332317783551,0.0,0.024712833579956,0.024712833579956,0.0,0.0004668321472268,0.0004668321472268,0.0,0.021606298785928145,0.021606298785928145,0.0,0.00021606298785928146,0.00021606298785928146
Small Sample,100,0.01,0.0099397993311036,0.95,upper,"Jeffreys (1/2,1/2)",10000,,0.4998371237397013,0.0,0.036744772013837,0.036744772013837,0.0,0.0002797961211191,0.0002797961211191,0.0,0.016727107374531317,0.016727107374531317,0.0,0.00016727107374531317,0.00016727107374531317
Small Sample,100,0.01,0.0099397993311036,0.95,upper,"Laplace (1,1)",10000,,0.3497649958287689,0.0,0.0450960829620041,0.0450960829620041,0.0,0.0002334693777295,0.0002334693777295,0.0,0.015279704765783272,0.015279704765783272,0.0,0.0001527970476578327,0.0001527970476578327
Large Sample,10000,0.01,0.0099397993311036,0.95,two_sided,"Haldane (~1e-06,1e-06)",10000,0.9558,,0.008073140645438,0.0119491410487745,0.0038760004033364,7.862469161380611e-07,1.1607515049897851e-06,3.640585226685364e-08,0.0008867056536066865,0.001077381782373261,0.00019080317677348468,8.867056536066864e-06,1.077381782373261e-05,1.9080317677348467e-06
Large Sample,10000,0.01,0.0099397993311036,0.95,two_sided,"Jeffreys (1/2,1/2)",10000,0.9558,,0.0081174561807799,0.0120027954404621,0.0038853392596821,7.865310859881892e-07,1.1599825827553463e-06,3.6208165258941974e-08,0.000886865878241005,0.0010770248756437088,0.00019028443251864293,8.86865878241005e-06,1.0770248756437089e-05,1.9028443251864292e-06
Large Sample,10000,0.01,0.0099397993311036,0.95,two_sided,"Laplace (1,1)",10000,0.9542,,0.0081617756822521,0.0120564264682058,0.0038946507859537,7.868119082388198e-07,1.1592181377473976e-06,3.6012498820893866e-08,0.0008870241869525429,0.0010766699298055081,0.00018976959403680524,8.870241869525428e-06,1.0766699298055082e-05,1.8976959403680525e-06
