t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
1,pre_drift,jeffreys,0.01,0.9473,0.01236169208891997,0.0527,0.0052247218383652295,0.017586413927283644,4.681271956471884e-06,1.6364630785517997e-05,0.01236169208891997,3.5925915947500103e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
2,pre_drift,jeffreys,0.01,0.9438,0.01239529085618839,0.0562,0.005270365670622416,0.017665656526809192,4.880326730667404e-06,1.694830806979133e-05,0.01239529085618839,3.694030983597275e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
3,pre_drift,jeffreys,0.01,0.946,0.012372065442392239,0.054,0.005238285936115503,0.01761035137850599,4.714044566122049e-06,1.6477573725900486e-05,0.012372065442392239,3.6169842173522176e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
4,pre_drift,jeffreys,0.01,0.9421,0.012334970045353376,0.0579,0.005206694947031923,0.017541664992383646,4.86636303385055e-06,1.7094669734606474e-05,0.012334970045353376,3.7758414598740796e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
5,pre_drift,jeffreys,0.01,0.9482,0.012377398714519195,0.0518,0.005244889571708407,0.017622288286225953,4.728992795397646e-06,1.6521705881094597e-05,0.012377398714519195,3.624067818704677e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
6,pre_drift,jeffreys,0.01,0.9478,0.012377460916279183,0.0522,0.005244768445241946,0.01762222936151954,4.714514013889841e-06,1.6487290227800864e-05,0.012377460916279183,3.621345104455766e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
7,pre_drift,jeffreys,0.01,0.9472,0.012353209748197947,0.0528,0.005216677795604133,0.017569887543800507,4.685064353314283e-06,1.6424412085151827e-05,0.012353209748197947,3.617495842523212e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
8,pre_drift,jeffreys,0.01,0.9453,0.012350905476996675,0.0547,0.005220995981518777,0.017571901458513766,4.832332277043869e-06,1.6910186957614834e-05,0.012350905476996675,3.7181762465632903e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
9,pre_drift,jeffreys,0.01,0.9499,0.012360210151184133,0.0501,0.005219580646452276,0.017579790797634852,4.566150144140512e-06,1.604759027138493e-05,0.012360210151184133,3.5438397908837006e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
10,pre_drift,jeffreys,0.01,0.9429,0.01238371522552275,0.0571,0.005257874953256034,0.017641590178777235,4.804451646753383e-06,1.6833020934895046e-05,0.01238371522552275,3.708167765498568e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
