t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
1,pre_drift,jeffreys,0.01,0.9455,0.003898917920342907,0.0545,0.008182066647623559,0.012080984567966302,8.293444218416212e-07,1.2218017795118227e-06,0.003898917920342907,3.794622114448259e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
2,pre_drift,jeffreys,0.01,0.9531,0.00390337713906593,0.0469,0.008202040790668498,0.012105417929734257,8.046471964608533e-07,1.1843796788687155e-06,0.00390337713906593,3.6633611694354253e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
3,pre_drift,jeffreys,0.01,0.9488,0.0038972841869806233,0.0512,0.008173826086964292,0.012071110273944712,8.06998637801649e-07,1.1897901098031232e-06,0.0038972841869806233,3.7086268769791786e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
4,pre_drift,jeffreys,0.01,0.951,0.0038970666886298296,0.049,0.008172525244999142,0.012069591933628786,8.010486815463239e-07,1.180230080412661e-06,0.0038970666886298296,3.6670736921425885e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
5,pre_drift,jeffreys,0.01,0.9479,0.0039012202801367957,0.0521,0.008192392237331956,0.012093612517468546,8.161610990460637e-07,1.20209825746028e-06,0.0039012202801367957,3.729333819197983e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
6,pre_drift,jeffreys,0.01,0.9493,0.0038978524107854563,0.0507,0.008176291206801014,0.012074143617586242,8.04981078045695e-07,1.1857310330068438e-06,0.0038978524107854563,3.680112389321081e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
7,pre_drift,jeffreys,0.01,0.9495,0.003902160845898726,0.0505,0.00819632072523896,0.01209848157113752,8.024216005479809e-07,1.181510659280569e-06,0.003902160845898726,3.660305335394178e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
8,pre_drift,jeffreys,0.01,0.9492,0.003901787596273948,0.0508,0.008195297671389828,0.012097085267663591,8.244165690737278e-07,1.2141486410733053e-06,0.003901787596273948,3.76529388058873e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
9,pre_drift,jeffreys,0.01,0.9484,0.003898023897699608,0.0516,0.00817752507767835,0.012075548975377798,8.169324965108082e-07,1.203808323942525e-06,0.003898023897699608,3.7428452218532946e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
10,pre_drift,jeffreys,0.01,0.9502,0.0039010560803521954,0.0498,0.008191414640133352,0.012092470720485304,8.066690881330891e-07,1.188897748502141e-06,0.0039010560803521954,3.699619072105265e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
