t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
1,pre_drift,jeffreys,0.001,0.9772,0.004322059044780179,0.0228,0.00020291537201990706,0.004524974416800028,8.950608225554745e-08,3.523520431302813e-06,0.004322059044780179,2.594837765295937e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
2,pre_drift,jeffreys,0.001,0.9802,0.00429419059929099,0.0198,0.00019686706183801584,0.0044910576611289325,8.665435972582601e-08,3.4474801679256022e-06,0.00429419059929099,2.545742026063705e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
3,pre_drift,jeffreys,0.001,0.9784,0.0042913895235375255,0.0216,0.00019845153930876143,0.004489841062846227,9.020871770983009e-08,3.508381086643454e-06,0.0042913895235375255,2.581081933062773e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
4,pre_drift,jeffreys,0.001,0.9788,0.004315230072573375,0.0212,0.00020057209911418102,0.004515802171687496,9.057862420897599e-08,3.4871652505630357e-06,0.004315230072573375,2.5614954044654952e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
5,pre_drift,jeffreys,0.001,0.9836,0.004257536647968228,0.0164,0.00018875101371256436,0.004446287661680729,7.745998505599328e-08,3.3249612923352575e-06,0.004257536647968228,2.4834782238104457e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
6,pre_drift,jeffreys,0.001,0.9842,0.0042891801610537555,0.0158,0.00019367492028229236,0.004482855081335982,8.142457876628992e-08,3.3650196490130676e-06,0.0042891801610537555,2.5002057607955985e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
7,pre_drift,jeffreys,0.001,0.9808,0.004273609908519055,0.0192,0.00019652794842345373,0.004470137856942445,8.606992070961657e-08,3.502932037798409e-06,0.004273609908519055,2.592179557492906e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
8,pre_drift,jeffreys,0.001,0.9817,0.004294495976220474,0.0183,0.00019661832933522385,0.004491114305555634,8.71737161729069e-08,3.4411594712878762e-06,0.004294495976220474,2.539520353827854e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
9,pre_drift,jeffreys,0.001,0.9803,0.004303193434312687,0.0197,0.00019880616022185552,0.0045019995945344725,8.633344576094167e-08,3.468013259731893e-06,0.004303193434312687,2.5612210158485142e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
10,pre_drift,jeffreys,0.001,0.9804,0.004294545525264686,0.0196,0.00019673514904907375,0.004491280674313694,8.592367442233684e-08,3.440741493865536e-06,0.004294545525264686,2.5424768829751937e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
11,pre_drift,jeffreys,0.001,0.9819,0.0042913671229765,0.0181,0.00019424371272241118,0.004485610835698838,8.3741347156609e-08,3.3795897735266155e-06,0.0042913671229765,2.503301159914599e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
12,pre_drift,jeffreys,0.001,0.9828,0.00426908154988285,0.0172,0.00019018091506522953,0.0044592624649480135,8.203770308342637e-08,3.338998144305999e-06,0.00426908154988285,2.477823117786936e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
13,pre_drift,jeffreys,0.001,0.9799,0.004269205651277856,0.0201,0.00019245163816736753,0.004461657289445172,8.18139629541406e-08,3.397735630317415e-06,0.004269205651277856,2.5238548373922204e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
14,pre_drift,jeffreys,0.001,0.9831,0.0043023999154676125,0.0169,0.00019585019096739068,0.004498250106434935,8.377746812688236e-08,3.3862234565270394e-06,0.0043023999154676125,2.507912062140861e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
15,pre_drift,jeffreys,0.001,0.9815,0.004283255852351552,0.0185,0.00019374136072390652,0.00447699721307539,8.197633066080048e-08,3.3873105552407742e-06,0.004283255852351552,2.51518841833932e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
16,pre_drift,jeffreys,0.001,0.9828,0.004255042149835949,0.0172,0.0001909312824056421,0.004445973432241531,8.125988220458828e-08,3.400949157415873e-06,0.004255042149835949,2.53046469200788e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
17,pre_drift,jeffreys,0.001,0.9802,0.004300559723197332,0.0198,0.0001977861992959064,0.004498345922493175,8.839239228381626e-08,3.4559880299071605e-06,0.004300559723197332,2.5469948140278085e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
18,pre_drift,jeffreys,0.001,0.9814,0.004315947594686733,0.0186,0.00019802147936213069,0.004513969074048783,8.38625630223962e-08,3.3993213775825314e-06,0.004315947594686733,2.5177611591649225e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
19,pre_drift,jeffreys,0.001,0.9825,0.004288682171048536,0.0175,0.00019625444955223282,0.004484936620600707,8.474238628046544e-08,3.4437766401116685e-06,0.004288682171048536,2.551486677704782e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
20,pre_drift,jeffreys,0.001,0.9807,0.004298848946464406,0.0193,0.00019762563684643482,0.00449647458331078,8.682943354279856e-08,3.4528760038428358e-06,0.004298848946464406,2.5507273837898624e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
21,pre_drift,jeffreys,0.001,0.9832,0.00425988296746345,0.0168,0.00018885091506288813,0.0044487338825262715,7.869503161735047e-08,3.3234461197045513e-06,0.00425988296746345,2.4772236675307552e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
22,pre_drift,jeffreys,0.001,0.9826,0.0043063863092077945,0.0174,0.00019653148693573458,0.004502917796143457,8.329707731374845e-08,3.3896443562545928e-06,0.0043063863092077945,2.5126589517833322e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
23,pre_drift,jeffreys,0.001,0.9837,0.004287460517582425,0.0163,0.00019196734130232868,0.0044794278588846815,7.861042219824079e-08,3.317417212029978e-06,0.004287460517582425,2.471298665184744e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
24,pre_drift,jeffreys,0.001,0.9782,0.004296231333149856,0.0218,0.00019955039372787756,0.004495781726877671,8.98646141736698e-08,3.5206852367218333e-06,0.004296231333149856,2.592501542296509e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
25,post_drift,jeffreys,0.0010227272727272728,0.9788,0.00431794921428523,0.0212,0.00020089304415865422,0.00451884225844382,8.891096048789268e-08,3.4822379112821986e-06,0.00431794921428523,2.5639144640923834e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
26,post_drift,jeffreys,0.0010454545454545454,0.9772,0.004383540423143589,0.0228,0.0002124673243317802,0.004596007747475295,9.656824021244512e-08,3.58621891608007e-06,0.004383540423143589,2.6158034593983896e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
27,post_drift,jeffreys,0.0010681818181818182,0.9752,0.004402047711230096,0.0248,0.00021606850440055779,0.004618116215630566,9.853582648517609e-08,3.621801639376914e-06,0.004402047711230096,2.636871949198025e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
28,post_drift,jeffreys,0.001090909090909091,0.976,0.004414430571456071,0.024,0.00021816006415435228,0.0046325906356103445,9.827567399882396e-08,3.632492409035647e-06,0.004414430571456071,2.645548071145616e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
29,post_drift,jeffreys,0.0011136363636363637,0.9749,0.004468948087838905,0.0251,0.0002279486330237431,0.004696896720862562,1.0243204208472462e-07,3.704195380573784e-06,0.004468948087838905,2.6855405803693193e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
30,post_drift,jeffreys,0.0011363636363636363,0.9723,0.004512815808087626,0.0277,0.00023563184615332954,0.004748447654240866,1.0738534540048317e-07,3.7554761098012867e-06,0.004512815808087626,2.705763134499612e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
31,post_drift,jeffreys,0.001159090909090909,0.9681,0.00451900122775104,0.0319,0.00024054461733012472,0.004759545845081083,1.154613470616069e-07,3.883134713216805e-06,0.00451900122775104,2.779341632969e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
32,post_drift,jeffreys,0.0011818181818181819,0.968,0.0045924910029243055,0.032,0.00025364253167735345,0.004846133534601549,1.2048564843066425e-07,3.953269920059852e-06,0.0045924910029243055,2.8119564355494533e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
33,post_drift,jeffreys,0.0012045454545454547,0.9635,0.004634448992708325,0.0365,0.00026077566018732845,0.004895224652895547,1.2684494522339812e-07,3.988635688823019e-06,0.004634448992708325,2.8161794226091907e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
34,post_drift,jeffreys,0.0012272727272727272,0.9637,0.004662379759715635,0.0363,0.0002658961428085253,0.004928275902524048,1.2698701056443587e-07,4.00724755678961e-06,0.004662379759715635,2.828028765518695e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
35,post_drift,jeffreys,0.00125,0.9607,0.004695004217402504,0.0393,0.00027133600828708695,0.004966340225689486,1.294549151722229e-07,4.018996779404697e-06,0.004695004217402504,2.825142175755514e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
36,post_drift,jeffreys,0.0012727272727272728,0.9616,0.004691536511745805,0.0384,0.000271845207949111,0.0049633817196948074,1.3268456169824197e-07,4.056164719392528e-06,0.004691536511745805,2.845645891379864e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
37,post_drift,jeffreys,0.0012954545454545454,0.9583,0.004751329387210915,0.0417,0.0002833061680420644,0.005034635555252855,1.3856742682420028e-07,4.1127148478972025e-06,0.004751329387210915,2.8644467417370297e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
38,post_drift,jeffreys,0.0013181818181818182,0.9543,0.004805601358435107,0.0457,0.000295104579939757,0.005100705938374728,1.4560684645163634e-07,4.19733806824607e-06,0.004805601358435107,2.905043640532706e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
39,post_drift,jeffreys,0.001340909090909091,0.9516,0.004841274659020197,0.0484,0.00030368426419626374,0.005144958923216343,1.5325046370078219e-07,4.2788452707230465e-06,0.004841274659020197,2.9428191055383404e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
