t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_n,scenario_p
1,pre_drift,jeffreys,0.01,0.941,0.012338665919905062,0.059,0.005207462977102939,0.017546128897007955,4.85822956727791e-06,1.697148806602299e-05,0.012338665919905062,3.7242530926084557e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
2,pre_drift,jeffreys,0.01,0.944,0.012339026893844031,0.056,0.005210256494367105,0.017549283388211098,4.970230177236712e-06,1.723333686018088e-05,0.012339026893844031,3.757753689278019e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
3,pre_drift,jeffreys,0.01,0.942,0.01236462859140951,0.058,0.00523538556069293,0.017600014152102387,4.790225033180156e-06,1.6788782220257428e-05,0.01236462859140951,3.699619628168673e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
4,pre_drift,jeffreys,0.01,0.941,0.012367738156117773,0.059,0.005253766843458823,0.017621504999576584,5.143679057297319e-06,1.7913022759803525e-05,0.012367738156117773,3.9122816711672245e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
5,pre_drift,jeffreys,0.01,0.937,0.012321097599131215,0.063,0.005195283556973342,0.017516381156104523,5.048128387568666e-06,1.757246587184223e-05,0.012321097599131215,3.836988065213695e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
6,pre_drift,jeffreys,0.01,0.945,0.012292029953616975,0.055,0.005154909666782835,0.01744693962039975,4.6791444724692395e-06,1.6652126377066068e-05,0.012292029953616975,3.7373132442052547e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
7,pre_drift,jeffreys,0.01,0.949,0.012352052554966844,0.051,0.005224706547093884,0.017576759102060687,4.9146037461011384e-06,1.7130312107265996e-05,0.012352052554966844,3.7521933611221314e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
8,pre_drift,jeffreys,0.01,0.962,0.012363998100028032,0.038,0.005208884683141558,0.017572882783169534,4.365871681090525e-06,1.521969238944972e-05,0.012363998100028032,3.3230417238282314e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
9,pre_drift,jeffreys,0.01,0.96,0.012352668308612766,0.04,0.0052094784821388965,0.01756214679075162,4.55499402941307e-06,1.597823005677245e-05,0.012352668308612766,3.5223245356588695e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
10,pre_drift,jeffreys,0.01,0.941,0.012380282280978254,0.059,0.005260450369728795,0.01764073265070699,4.907649906209787e-06,1.7220641680900392e-05,0.012380282280978254,3.803623826854652e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
11,pre_drift,jeffreys,0.01,0.945,0.01235552072068679,0.055,0.005220024580065725,0.017575545300752508,4.676608060512471e-06,1.644310330196219e-05,0.01235552072068679,3.6277368544107645e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
12,pre_drift,jeffreys,0.01,0.947,0.012402270206832761,0.053,0.0052734917650583005,0.017675761971890996,4.8122147345627295e-06,1.667171083339627e-05,0.012402270206832761,3.622020557627378e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
13,pre_drift,jeffreys,0.01,0.95,0.012355998588034042,0.05,0.005221764783518185,0.0175777633715522,4.777799781437341e-06,1.6652912576718215e-05,0.012355998588034042,3.643721898907682e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
14,pre_drift,jeffreys,0.01,0.965,0.012388952520163093,0.035,0.005250228456256779,0.01763918097641986,4.521005106047956e-06,1.5902311107884122e-05,0.012388952520163093,3.5099618350911026e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
15,pre_drift,jeffreys,0.01,0.946,0.012351554972410483,0.054,0.005218949784794317,0.017570504757204747,4.666889638967931e-06,1.6507819167594132e-05,0.012351554972410483,3.681089615998603e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
16,pre_drift,jeffreys,0.01,0.949,0.012366537967376507,0.051,0.005226531140232554,0.01759306910760903,4.752449376532392e-06,1.637885748291578e-05,0.012366537967376507,3.534477051131749e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
17,pre_drift,jeffreys,0.01,0.959,0.01237010560633557,0.041,0.005224708972317851,0.0175948145786534,4.44681460616202e-06,1.5623970050385107e-05,0.01237010560633557,3.454411072429227e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
18,pre_drift,jeffreys,0.01,0.95,0.01228719650695359,0.05,0.0051453743069931265,0.017432570813946682,4.687489073053741e-06,1.6551304753472306e-05,0.01228719650695359,3.676376873032358e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
19,pre_drift,jeffreys,0.01,0.95,0.012439162920811885,0.05,0.005306944880979344,0.01774610780179121,4.5792374665003494e-06,1.5957096278137084e-05,0.012439162920811885,3.4918540120375176e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
20,pre_drift,jeffreys,0.01,0.954,0.012348285023790456,0.046,0.005222598452355485,0.017570883476145913,4.8495071722697614e-06,1.7100883446797036e-05,0.012348285023790456,3.786143522477737e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
21,pre_drift,jeffreys,0.01,0.937,0.01238420738974047,0.063,0.005256563660612878,0.017640771050353304,4.869477125164919e-06,1.689517350616257e-05,0.01238420738974047,3.6780937661822248e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
22,pre_drift,jeffreys,0.01,0.941,0.012230266738187251,0.059,0.005083058848199175,0.017313325586386392,4.774457591979291e-06,1.6781351789722624e-05,0.012230266738187251,3.704556406820917e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
23,pre_drift,jeffreys,0.01,0.948,0.012356791142935015,0.052,0.005227360911807176,0.01758415205474216,4.847183973428525e-06,1.6939515756967186e-05,0.012356791142935015,3.711606905399409e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
24,pre_drift,jeffreys,0.01,0.94,0.01249228904379584,0.06,0.005368225177984682,0.017860514221780484,4.710337588787136e-06,1.6193105944990206e-05,0.01249228904379584,3.4833642770746036e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
25,post_drift,jeffreys,0.010227272727272727,0.941,0.01253857205445726,0.059,0.005434820104570713,0.01797339215902792,5.044411290790679e-06,1.717120583935144e-05,0.01253857205445726,3.6650151925250805e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
26,post_drift,jeffreys,0.010454545454545454,0.965,0.01262060920472956,0.049,0.005523577678707015,0.018144186883436542,4.908052993075749e-06,1.671213468834961e-05,0.01262060920472956,3.552668706821886e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
27,post_drift,jeffreys,0.010681818181818181,0.947,0.01278839434447273,0.075,0.005755869444694985,0.01854426378916771,5.580498824308022e-06,1.893848705192036e-05,0.01278839434447273,4.018114583431313e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
28,post_drift,jeffreys,0.01090909090909091,0.962,0.012884657673943494,0.062,0.005834618481573258,0.01871927615551672,5.1571088819871174e-06,1.6981311819929095e-05,0.012884657673943494,3.46276413683256e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
29,post_drift,jeffreys,0.011136363636363637,0.943,0.013024165494002376,0.074,0.00601923713009082,0.01904340262409316,5.4225491157501406e-06,1.7881287678183223e-05,0.013024165494002376,3.656907795137178e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
30,post_drift,jeffreys,0.011363636363636364,0.946,0.01312967353723728,0.08,0.0061490827759429255,0.019278756313180222,5.579538174950908e-06,1.8111949396670075e-05,0.01312967353723728,3.63183076354813e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
31,post_drift,jeffreys,0.011590909090909091,0.947,0.01324830723085137,0.095,0.0063002984809174606,0.019548605711768825,5.920162222234287e-06,1.8766563686129867e-05,0.01324830723085137,3.649994102580844e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
32,post_drift,jeffreys,0.011818181818181818,0.945,0.013426419005072354,0.087,0.006526471944597722,0.01995289094967008,5.809270510124715e-06,1.8500603488733286e-05,0.013426419005072354,3.6249451018138443e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
33,post_drift,jeffreys,0.012045454545454545,0.958,0.013488723251384626,0.103,0.006617051177989975,0.0201057744293746,6.260897701333771e-06,1.9620940562234195e-05,0.013488723251384626,3.7589004400411874e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
34,post_drift,jeffreys,0.012272727272727274,0.956,0.01364349595317713,0.114,0.00680407628754896,0.0204475722407261,6.0562667155831496e-06,1.8726804852709866e-05,0.01364349595317713,3.5241747786070082e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
35,post_drift,jeffreys,0.0125,0.945,0.013800084106644425,0.127,0.0070081349666373995,0.02080821907328183,6.272899480097159e-06,1.8929567393470418e-05,0.013800084106644425,3.4469504013321718e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
36,post_drift,jeffreys,0.012727272727272728,0.954,0.013889695762483615,0.154,0.0071458259264209475,0.02103552168890457,6.4473918729121525e-06,1.9787298187606773e-05,0.013889695762483615,3.6893091160101305e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
37,post_drift,jeffreys,0.012954545454545455,0.95,0.013974696208048679,0.151,0.00725798839782747,0.021232684605876143,6.7342810640962255e-06,2.0154391094689224e-05,0.013974696208048679,3.6267761115744306e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
38,post_drift,jeffreys,0.013181818181818182,0.945,0.014214945367835151,0.199,0.007599719414721962,0.021814664782557117,7.286094747690451e-06,2.137035043921025e-05,0.014214945367835151,3.741865987546677e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
39,post_drift,jeffreys,0.013409090909090909,0.944,0.014295860918946603,0.196,0.007707909165977522,0.02200377008492415,7.359244159888591e-06,2.1275361002097372e-05,0.014295860918946603,3.6539493290796757e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
40,post_drift,jeffreys,0.013636363636363637,0.968,0.0143780855306114,0.219,0.007826389599298066,0.022204475129909425,7.321141244901158e-06,2.1284345009001614e-05,0.0143780855306114,3.6791440469060525e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
