t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
1,pre_drift,jeffreys,0.01,0.9816,0.04192570209734832,0.0184,0.001928934195173774,0.043854636292522085,8.163959535419888e-06,0.000315126412090333,0.04192570209734832,0.00023182925227608372,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
2,pre_drift,jeffreys,0.01,0.9811,0.04218666560726735,0.0189,0.0019652546497050975,0.04415192025697241,8.204377559196768e-06,0.00031595502726925167,0.04218666560726735,0.0002321176504010557,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
3,pre_drift,jeffreys,0.01,0.9826,0.04224704262346669,0.0174,0.0019635181184506473,0.04421056074191745,8.060403948400751e-06,0.00031329809611633803,0.04224704262346669,0.00023053985317236098,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
4,pre_drift,jeffreys,0.01,0.9835,0.04207853157781371,0.0165,0.0019408508149327,0.04401938239274641,7.974204019925898e-06,0.0003128739193404568,0.04207853157781371,0.00023068754023238968,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
5,pre_drift,jeffreys,0.01,0.9829,0.04205895196309818,0.0171,0.0019552663522351466,0.044014218315333496,8.261070007387763e-06,0.0003176291803186108,0.04205895196309818,0.00023340993122391196,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
6,pre_drift,jeffreys,0.01,0.9818,0.04213437384283744,0.0182,0.0019625035529954316,0.04409687739583297,8.327448287485224e-06,0.0003172380072632632,0.04213437384283744,0.0002328959069745804,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
7,pre_drift,jeffreys,0.01,0.9819,0.04207621171331784,0.0181,0.0019535360319196016,0.044029747745237276,8.294382784472199e-06,0.00031676891019929575,0.04207621171331784,0.0002325925756012895,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
8,pre_drift,jeffreys,0.01,0.9829,0.04219740223265064,0.0171,0.001982093370763231,0.044179495603414075,8.432930504602335e-06,0.00032026963972898136,0.04219740223265064,0.0002349129657791241,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
9,pre_drift,jeffreys,0.01,0.9837,0.04205683727758807,0.0163,0.0019488696288980367,0.04400570690648625,8.175572412303142e-06,0.0003159357235246994,0.04205683727758807,0.00023230273582847344,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
10,pre_drift,jeffreys,0.01,0.9832,0.04205542120474491,0.0168,0.001973246332748482,0.044028667537493384,8.194228260046889e-06,0.00032199663615812245,0.04205542120474491,0.00023700505955917702,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
11,pre_drift,jeffreys,0.01,0.9826,0.04194848255138084,0.0174,0.0019621469070960993,0.04391062945847697,8.505850368646043e-06,0.0003233301490144342,0.04194848255138084,0.00023715235156657058,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
12,pre_drift,jeffreys,0.01,0.9809,0.04219108670574319,0.0191,0.0020012817991867556,0.04419236850493006,8.867596519162132e-06,0.00032612632186439835,0.04219108670574319,0.00023799154425108637,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
13,pre_drift,jeffreys,0.01,0.98,0.0423458739198396,0.02,0.002024884528800239,0.0443707584486398,8.994015580302953e-06,0.0003272631466109516,0.0423458739198396,0.00023826366632559502,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
14,pre_drift,jeffreys,0.01,0.9833,0.042134653282274837,0.0167,0.001950447197917013,0.04408510048019194,8.035356491056196e-06,0.0003135857511947411,0.042134653282274837,0.0002309702832451238,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
15,pre_drift,jeffreys,0.01,0.9813,0.04216987300920619,0.0187,0.0019947728172538017,0.044164645826459986,8.630295482923637e-06,0.0003246893587001158,0.04216987300920619,0.00023766608683396524,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
