scenario,t,phase,p_hat,delta,p_true,T,T0,n,conf_level,alpha_nominal,n_sim,method,coverage,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var
Pre-drift,24,pre_drift,0.001,0.001,0.001,68,24,1000,0.95,0.05,1000,Clopper–Pearson,0.987,0.013,0.0001066312731498,0.0054160667222709,4.35052298110224e-08,2.7261944257173817e-06,0.005309435449121,2.190383000165065e-06
Pre-drift,24,pre_drift,0.001,0.001,0.001,68,24,1000,0.95,0.05,1000,Jeffreys,0.987,0.013,0.0001862321755206,0.0044442935328093,7.453654828706483e-08,3.248709823239117e-06,0.0042580613572887,2.433634923959615e-06
Pre-drift,24,pre_drift,0.001,0.001,0.001,68,24,1000,0.95,0.05,1000,Normal Approximation,0.628,0.372,3.3047079174392274e-06,0.0024621195518952,1.637980722800133e-09,4.689454002211416e-06,0.0024588148439777,4.64773391090112e-06
Drift onset,25,post_drift,0.001,0.001,0.0010227272727272,68,24,1000,0.95,0.05,1000,Clopper–Pearson,0.983,0.017,0.0001145317438944,0.0055375096664887,5.412635363510241e-08,2.725047528076796e-06,0.0054229779225942,2.1399178808090563e-06
Drift onset,25,post_drift,0.001,0.001,0.0010227272727272,68,24,1000,0.95,0.05,1000,Jeffreys,0.983,0.017,0.0001993491119375,0.0045805853239209,8.647885242649903e-08,3.22316043239322e-06,0.0043812362119834,2.365433899231593e-06
Drift onset,25,post_drift,0.001,0.001,0.0010227272727272,68,24,1000,0.95,0.05,1000,Normal Approximation,0.675,0.325,6.448010674423127e-06,0.0026386977391577,4.955114359704131e-09,4.5733838896499805e-06,0.0026322497284833,4.487209563175929e-06
End,68,post_drift,0.001,0.001,0.002,68,24,1000,0.95,0.05,1000,Clopper–Pearson,0.984,0.14,0.0003720922126232,0.007051315265443,2.296065846936957e-07,4.935137987479474e-06,0.0066792230528197,3.201175049142511e-06
End,68,post_drift,0.001,0.001,0.002,68,24,1000,0.95,0.05,1000,Jeffreys,0.984,0.14,0.0005194875328506,0.006191242180431,3.064453222771114e-07,5.498947914737318e-06,0.0056717546475805,3.3542778706975297e-06
End,68,post_drift,0.001,0.001,0.002,68,24,1000,0.95,0.05,1000,Normal Approximation,0.863,0.153,4.954818955397459e-05,0.0044349840249282,4.160879474474864e-08,6.644283628194742e-06,0.0043854358353742,6.138361327460751e-06
Pre-drift,24,pre_drift,0.01,0.01,0.01,68,24,1000,0.95,0.05,1000,Clopper–Pearson,0.98,0.02,0.0050252487561066,0.0185111565845456,4.602041722598708e-06,1.5998452479043523e-05,0.013485907828439,3.4893260913818633e-06
Pre-drift,24,pre_drift,0.01,0.01,0.01,68,24,1000,0.95,0.05,1000,Jeffreys,0.94,0.06,0.0053682251779846,0.0178605142217804,4.710337588787136e-06,1.6193105944990206e-05,0.0124922890437958,3.4833642770746036e-06
Pre-drift,24,pre_drift,0.01,0.01,0.01,68,24,1000,0.95,0.05,1000,Normal Approximation,0.93,0.07,0.0040547880517739,0.0163591499664045,4.642140817225214e-06,1.639938284011389e-05,0.0123043619146305,3.6546857227412466e-06
Drift onset,25,post_drift,0.01,0.01,0.0102272727272727,68,24,1000,0.95,0.05,1000,Clopper–Pearson,0.955,0.031,0.005091499714945,0.0186237031217587,4.9298302723493565e-06,1.6964236330273285e-05,0.0135322034068137,3.6714044047641105e-06
Drift onset,25,post_drift,0.01,0.01,0.0102272727272727,68,24,1000,0.95,0.05,1000,Jeffreys,0.941,0.059,0.0054348201045707,0.0179733921590279,5.044411290790679e-06,1.717120583935144e-05,0.0125385720544572,3.665015192525081e-06
Drift onset,25,post_drift,0.01,0.01,0.0102272727272727,68,24,1000,0.95,0.05,1000,Normal Approximation,0.942,0.058,0.0041243301734861,0.0164725048466283,4.946719850391907e-06,1.7390993677620812e-05,0.0123481746731422,3.889830313025071e-06
End,68,post_drift,0.01,0.01,0.02,68,24,1000,0.95,0.05,1000,Clopper–Pearson,0.947,0.699,0.0123068106628034,0.0306379428676819,1.3481405335618126e-05,3.186729255032694e-05,0.0183311322048785,3.9306477813120144e-06
End,68,post_drift,0.01,0.01,0.02,68,24,1000,0.95,0.05,1000,Jeffreys,0.947,0.769,0.0126971478509483,0.0300325009358121,1.3582082691204817e-05,3.201867344866487e-05,0.0173353530848637,3.928798099000997e-06
End,68,post_drift,0.01,0.01,0.02,68,24,1000,0.95,0.05,1000,Normal Approximation,0.93,0.613,0.0113708628173158,0.0285911371826841,1.359765238200962e-05,3.2283210197836813e-05,0.0172202743653685,4.015169159693097e-06
